H01-1001.1,Oral communication
J05-1003.42,ranking tasks
J05-1003.43, speech recognition 
J05-1003.44,machine translation
J05-1003.45,natural language generation 
J05-4003.1,discovering parallel sentences
J05-4003.2,comparable, non-parallel corpora 
J05-4003.3,maximum entropy classifier
J05-4003.4,sentences 
J05-4003.5,translations
J05-4003.6,parallel data
J05-4003.7,Chinese, Arabic, and English non-parallel newspaper corpora 
J05-4003.8,quality of the extracted data
J05-4003.9,statistical machine translation system 
J05-4003.10,MT system
J05-4003.11,parallel corpus
J05-4003.12,words 
J05-4003.13,non-parallel corpus
J05-4003.14,language pairs
J05-4003.15,resources 
P05-1032.1,data structure
P05-1032.2,phrase-based statistical machine translation 
P05-1032.3,retrieval
P05-1032.4,phrases 
P05-1032.5,memory
P05-1032.6,decoder 
P05-1032.7,computational complexity
P05-1032.8,average retrieval times 
P05-1032.9,phrase translations
P05-1032.10, suffix array-based data structure 
P05-1032.11,sampling
P05-1032.12,retrieval time 
P05-1032.13,translation quality
P05-1034.1,statistical machine translation
P05-1034.2,syntactic information
P05-1034.3,source language 
P05-1034.4,phrasal translation
P05-1034.5,source-language
P05-1034.6,dependency parser
P05-1034.7,target language
P05-1034.8,word segmentation
P05-1034.9,unsupervised word alignment component 
P05-1034.10,parallel corpus
P05-1034.11,source dependency parse 
P05-1034.12,sentence
P05-1034.13, dependency treelet translation pairs 
P05-1034.14,tree-based ordering model
P05-1034.15,decoder
P05-1034.16, tree-based models 
P05-1034.17,SMT models
P05-1034.18,phrasal SMT
P05-1034.19,parser
P05-1048.1,word sense disambigation models 
P05-1048.2,statistical machine translation
P05-1048.3,quality
P05-1048.4,Chinese word sense disambiguation model 
P05-1048.5,translation candidates
P05-1048.6,IBM statistical MT system 
P05-1048.7,word sense disambiguation
P05-1048.8,translation quality
P05-1048.9, statistical machine translation system 
P05-1048.10,Error analysis
P05-1048.11,statistical MT architectures 
P05-1067.1,Syntax-based statistical machine translation (MT)
P05-1067.2,statistical models 
P05-1067.3,structured data
P05-1067.4,syntax-based statistical machine translation system 
P05-1067.5,probabilistic synchronous dependency insertion grammar
P05-1067.6,Synchronous dependency insertion grammars 
P05-1067.7,synchronous grammars
P05-1067.8,dependency trees 
P05-1067.9,grammar
P05-1067.10,parallel corpora 
P05-1067.11,graphical model
P05-1067.12,machine translation task 
P05-1067.13,stochastic tree-to-tree transducer
P05-1067.14,polynomial time decoding algorithm
P05-1067.15,model 
P05-1067.16,MT system
P05-1067.17,NIST and Bleu automatic MT evaluation software 
P05-1067.18,baseline system
P05-1067.19,IBM models
P05-1067.20,translation speed and quality 
P05-1069.1,training method
P05-1069.2,localized phrase-based prediction model 
P05-1069.3,statistical machine translation (SMT)
P05-1069.4,model 
P05-1069.5,blocks
P05-1069.6, local phrase re-ordering 
P05-1069.7,maximum likelihood criterion
P05-1069.8,log-linear block bigram model 
P05-1069.9,real-valued features
P05-1069.10, language model score 
P05-1069.11,binary features
P05-1069.12, block 
P05-1069.13,training algorithm 
P05-1069.14,features
P05-1069.15,baseline
P05-1069.16,Arabic-English translation task 
P05-1074.1,monolingual parallel corpora
P05-1074.2,paraphrases
P05-1074.3,bilingual parallel corpora 
P05-1074.4,resource
P05-1074.5,alignment techniques 
P05-1074.6,phrase-based statistical machine translation
P05-1074.7,paraphrases 
P05-1074.8,language
P05-1074.9,phrase 
P05-1074.10,paraphrase probability 
P05-1074.11,paraphrases
P05-1074.12,bilingual parallel corpus 
P05-1074.13,translation probabilities
P05-1074.14,contextual information
P05-1074.15,paraphrase extraction and ranking methods
P05-1074.16,manual word alignments 
P05-1074.17,quality
P05-1074.18, paraphrases 
P05-1074.19,automatic alignments
P05-2016.1,Czech-English statistical machine translation system
P05-2016.2,tree-to-tree translation
P05-2016.3,dependency structures 
P05-2016.4,bilingual resource
P05-2016.5,sentence-aligned parallel corpus 
P05-2016.6,resources
P05-2016.7,monolingual 
P05-2016.8,evaluation method
P05-2016.9,system's output 
P05-2016.10,benchmark system
E06-1018.1,unsupervised word sense induction (WSI) 
E06-1018.2,one sense per collocation observation 
E06-1018.3,clustering of word co-occurrences 
E06-1018.4,WSI
E06-1018.5,one sense per collocation observation
E06-1018.6,words
E06-1018.7,two-step clustering process 
E06-1018.8,sentence co-occurrences
E06-1018.9, features 
E06-1018.10,unsupervised evaluation method 
E06-1018.11,word sense disambiguation algorithms 
E06-1018.12,gold standard 
E06-1018.13,automatic parameter optimization
E06-1018.14,WSI algorithm 
E06-1022.1,addressee identification
E06-1022.2,four-participants face-to-face meetings 
E06-1022.3,Bayesian Network
E06-1022.4,Naive Bayes classifiers 
E06-1022.5,addressee
E06-1022.6,dialogue act 
E06-1022.7,gaze
E06-1022.8,utterance 
E06-1022.9,conversational context features
E06-1022.10,meeting context
E06-1022.11, classifiers 
E06-1022.12,performances
E06-1022.13,classifiers 
E06-1022.14,conversational context
E06-1022.15,utterance features 
E06-1022.16,speaker's gaze information
E06-1022.17,classifiers 
E06-1022.18,gain
E06-1022.19,meeting context 
E06-1031.1,evaluation measures
E06-1031.2,machine translation 
E06-1031.3,costs
E06-1031.4,word 
E06-1031.5,sentences 
E06-1031.6,evaluation measure
E06-1031.7,block reordering
E06-1031.8,edit operation 
E06-1031.9,measure
E06-1031.10,quadratic time 
E06-1031.11,evaluation measures
E06-1031.12,word-dependent substitution costs
E06-1031.13,measure
E06-1031.14,human judgment 
E06-1031.15,language pairs 
E06-1031.16,sentence-level correlation
E06-1031.17,word dependent substitution costs 
E06-1031.18,automatic evaluation measures 
E06-1031.19,human judgment
E06-1035.1,segment boundaries 
E06-1035.2,spoken multiparty dialogue
E06-1035.3,predicting top-level topic shifts 
E06-1035.4,identifying subtopic boundaries
E06-1035.5,performance
E06-1035.6,ASR output 
E06-1035.7,human transcription
E06-1035.8,features 
E06-1035.9,predicting top-level and predicting subtopic boundaries 
E06-1035.10,subtopic boundaries
E06-1035.11,lexical cohesion-based approach
E06-1035.12,predicting top-level boundaries
E06-1035.13, machine learning approach 
E06-1035.14,lexical-cohesion and conversational features
E06-1035.15,conversational cues
E06-1035.16,cue phrases 
E06-1035.17,overlapping speech
E06-1035.18,transcription errors
E06-1035.19,ASR output 
E06-1035.20,lexical-cohesion and conversational features 
P06-1013.1,Combination methods
P06-1013.2,system performance 
P06-1013.3,system combination
P06-1013.4,unsupervised WSD 
P06-1013.5,voting- and arbiter-based combination strategies 
P06-1013.6,unsupervised WSD systems
P06-1013.7,combination methods 
P06-1013.8,predominant senses
P06-1013.9,raw text 
P06-1013.10,SemCor
P06-1013.11, Senseval-3 data sets 
P06-1052.1,redundancy elimination problem 
P06-1052.2,underspecified semantic representation (USR)
P06-1052.3,scope ambiguity 
P06-1052.4,USR
P06-1052.5, equivalent readings 
P06-1052.6,underspecified chart representations
P06-1052.7,dominance graphs
P06-1052.8,USRs 
P06-1052.9,large-scale grammars
P06-1052.10,corpus 
P06-1052.11,ambiguity
P06-2001.1,machine learning techniques 
P06-2001.2,comma checker
P06-2001.3,grammar checker 
P06-2001.4,Basque
P06-2001.5,corpus 
P06-2001.6,words
P06-2001.7,commas 
P06-2001.8,precision
P06-2001.9,recall
P06-2001.10,precision
P06-2001.11, recall 
P06-2001.12,commas
P06-2001.13,corpus 
P06-2001.14,corpus
P06-2001.15,author 
P06-2012.1,unsupervised learning approach
P06-2012.2,named entities
P06-2012.3,lexical and syntactic features 
P06-2012.4,contexts
P06-2012.5,eigenvectors 
P06-2012.6,adjacency graph
P06-2012.7,Laplacian 
P06-2012.8,submanifold
P06-2012.9, high dimensionality space 
P06-2012.10,cluster number estimation
P06-2012.11,eigenvectors 
P06-2012.12,ACE corpora
P06-2012.13,spectral clustering based approach 
P06-2012.14,clustering methods
P06-2059.1,polarity-tagged corpus
P06-2059.2,HTML documents 
P06-2059.3,HTML documents 
P06-2059.4,layout structures
P06-2059.5,linguistic pattern 
P06-2059.6,sentences
P06-2059.7,corpus
P06-2059.8,sentences
H01-1040.1,information extraction (IE) systems 
H01-1040.2,named entity annotations
H01-1040.3,scenario templates 
H01-1040.4,text collections
H01-1040.5,text browser 
H01-1040.6,prototype system
H01-1040.7,information workers
H01-1040.8, pharmaceutical news archive 
H01-1040.9,industry watch
H01-1040.10,qualitative user evaluation
H01-1040.11,interface
H01-1040.12,users
H01-1040.13, IE-enhanced text browsers 
H01-1055.1,Automatic Speech Recognition technology
H01-1055.2,dialog systems
H01-1055.3,speech recognition
H01-1055.4,dialog systems 
H01-1055.5,user
H01-1055.6,user
H01-1055.7,system response 
H01-1055.8,users
H01-1055.9, natural language generation community 
H01-1055.10,dialog systems
H01-1055.11,generation
H01-1055.12,dialog systems 
H01-1055.13,knowledge-based generation systems 
H01-1055.14,machine learning techniques
H01-1068.1,spoken dialogue systems 
H01-1068.2,user satisfaction
H01-1068.3,system support of mission success 
H01-1068.4,component performance
H01-1068.5,user studies
N03-4004.1,TAP-XL Automated Analyst's Assistant
N03-4004.2,English
N03-4004.3,topical report 
N03-4004.4,multilingual, multimedia data 
N03-4004.5,languages
N03-4004.6,human language technology 
H05-1101.1,computational problems
H05-1101.2,probabilistic translation models 
H05-1101.3,machine translation 
H05-1101.4,models
H05-1101.5, probabilistic context-free grammars 
H05-1101.6,hardness
H05-1101.7,NP 
H05-1101.8,exponential time lower-bound
I05-2014.1,evaluation metrics
I05-2014.2,Machine Translation (MT) systems 
I05-2014.3,BLEU
I05-2014.4,NIST
I05-2014.5,language pairs 
I05-2014.6,English-Chinese
I05-2014.7,English-Japanese 
I05-2014.8,word segmentation problem
I05-2014.9,BLEU
I05-2014.10,word n-grams 
I05-2014.11,character
I05-2014.12,BLEU 
I05-2014.13,character
I05-2014.14,word segmentation problem 
I05-2014.15, unsegmented texts 
I05-2014.16,statistical MT systems
I05-2014.17,outputs
P05-3025.1,interactively visualizing and directing the process 
P05-3025.2,translating a sentence
P05-3025.3,user 
P05-3025.4,model
P05-3025.5,syntax-based statistical machine translation (MT) 
P05-3025.6,model
P05-3025.7,MT systems
P05-3025.8,visualization method 
P05-3025.9,MT system 
P05-3025.10,ACL
P05-3025.11,users 
P05-3025.12,syntax-based decoder
E06-1004.1, Statistical Machine Translation (SMT) 
E06-1004.2,SMT research community 
E06-1004.3,SMT algorithms
E06-1004.4,computational complexity 
E06-1004.5,SMT
E06-1004.6,computational complexity
E06-1004.7,IBM Models 1-2
E06-1004.8,models 
E06-1004.9,hard
E06-1004.10,polynomial time solution 
E06-1004.11,hard problems
E06-1004.12,P = NP 
E06-1004.13,P#P = P
E06-1004.14,polynomial time approximations
E06-1004.15,complexity
E06-1041.1,Generation
E06-1041.2,Referring Expressions 
E06-1041.3,numeric-valued attributes
E06-1041.4,perspective-taking 
E06-1041.5,reference
E06-1041.6,content determination 
E06-1041.7,clustering algorithm
N06-2009.1,Question Answering (QA) systems
N06-2009.2,information need
N06-2009.3,language 
N06-2009.4,need
N06-2009.5,MT-based paraphrasing technique
N06-2009.6,QA system 
N06-2009.7,paraphrased questions
N06-2009.8,MRR
N06-2009.9, question 
N06-2038.1,information extraction
N06-2038.2,token classification task 
N06-2038.3,tagging strategies
N06-2038.4,tokens 
N06-2038.5,tagging strategies
N06-2038.6,Begin/After tagging 
N06-2038.7,BIA
N06-4001.1,interactive corpus exploration tool
N06-4001.2,InfoMagnets 
N06-4001.3,InfoMagnets
N06-4001.4,exploratory corpus analysis 
N06-4001.5,text mining
N06-4001.6,language
N06-4001.7,behavioral patterns 
N06-4001.8,tutorial dialogue
N06-4001.9,on-line communities
N06-4001.10,educational tool 
N06-4001.11,protocol analysis
N06-4001.12,Educational Research Methods course 
P06-1018.1,mathematical formalism
P06-1018.2,structures
P06-1018.3,strings
P06-1018.4,trees 
P06-1018.5,dags
P06-1018.6,graphs
P06-1018.7,polarization
P06-1018.8, elementary structures 
P06-1018.9,saturation
P06-1018.10, structure 
P06-1018.11,grammar formalisms 
P06-1018.12,rewriting systems
P06-1018.13,dependency grammars 
P06-1018.14,TAG
P06-1018.15,HPSG
P06-1018.16,LFG 
P06-2110.1,similarity
P06-2110.2,words 
P06-2110.3,word vectors
P06-2110.4,vector space model 
P06-2110.5,methods for constructing word vectors 
P06-2110.6,LSA-based, cooccurrence-based and dictionary-based methods
P06-2110.7,similarity
P06-2110.8,taxonomic similarity
P06-2110.9,associative similarity 
P06-2110.10,dictionary-based word vectors 
P06-2110.11,taxonomic similarity
P06-2110.12,LSA-based and the cooccurrence-based word vectors 
P06-2110.13,associative similarity
P06-3007.1,mutli-document summarization approaches 
P06-3007.2,events
P06-3007.3,event terms 
P06-3007.4,associated event elements
P06-3007.5,contents
P06-3007.6, events 
P06-3007.7,PageRank algorithm 
P06-3007.8,event map
P06-3007.9,documents 
P06-4007.1,FERRET
P06-4007.2,interactive question-answering (Q/A) system 
P06-4007.3,automatic Q/A
P06-4007.4,FERRET
P06-4007.5,Q/A 
P06-4007.6,predictive questioning
P06-4007.7,questions 
P06-4007.8,answers
P06-4007.9,users
P06-4007.10,user
P06-4011.1,computational analysis of move structures 
P06-4011.2,abstracts
P06-4011.3,research articles
P06-4011.4,sentences
P06-4011.5,abstract 
P06-4011.6,move
P06-4011.7,rhetorical functions 
P06-4011.8,abstracts 
P06-4011.9,Web
P06-4011.10,language model 
P06-4011.11,abstract moves
P06-4011.12,concordancer 
P06-4011.13,CARE
P06-4011.14,move-tagged abstracts 
P06-4011.15,digital learning
P06-4011.16,Web-based computer-assisted academic writing 
P06-4014.1,LOGON MT demonstrator
P06-4014.2,general-purpose NLP components 
P06-4014.3,machine translation pipeline
P06-4014.4,output quality 
P06-4014.5,hand-built, symbolic resources 
P06-4014.6,stochastic processes
T78-1001.1,representational format for meaning 
T78-1001.2,verbs
T78-1001.3,subpredicates
T78-1001.4, subpredicates 
T78-1001.5,inferences
T78-1001.6,listener 
T78-1001.7,verb
T78-1001.8,sentence 
T78-1001.9,meaning structure
T78-1001.10, sentence 
T78-1001.11,verb
T78-1028.1,computational theory
T78-1028.2,human plausible reasoning 
T78-1028.3, logic 
T78-1028.4,theory
T78-1028.5, content-independent formalism 
T78-1028.6,logic
T78-1028.7,theory
T78-1028.8,memory
T78-1028.9,theory
T78-1028.10, dimensionalized space 
T78-1028.11,inference types
T78-1028.12, certainty conditions 
T78-1028.13,meta-inference types
T78-1028.14,inference 
T78-1028.15,inference types
T78-1028.16,memory
T78-1028.17,inference types
T78-1028.18,memory 
T78-1028.19,inference types
T78-1031.1,inference
T78-1031.2,semantic networks 
T78-1031.3,Path-based inference
T78-1031.4,arc 
T78-1031.5,path of arcs
T78-1031.6,nodes 
T78-1031.7,path
T78-1031.8,nodes
T78-1031.9,Path-based inference rules 
T78-1031.10,binary relational calculus notation
T78-1031.11,Node-based inference 
T78-1031.12,structure
T78-1031.13,nodes
T78-1031.14,node structures
T78-1031.15,Node-based inference rules 
T78-1031.16,semantic network
T78-1031.17,predicate calculus notation 
T78-1031.18,Path-based inference
T78-1031.19,node-based inference 
T78-1031.20,path-based inference rules 
T78-1031.21,extensional equivalence
T78-1031.22,intensional concepts 
T78-1031.23,explication
T78-1031.24,inheritance 
T78-1031.25,hierarchies
C80-1039.1,FROFF
C80-1039.2,fonts 
C80-1039.3,character
C80-1039.4,typing location 
C80-1039.5,character 
C80-1039.6,character 
C80-1039.7,rules
C80-1039.8,mathematical expressions
C80-1073.1,Augmented Transition Network
C80-1073.2,dialog model
C80-1073.3,model 
C80-1073.4,dialog schemata 
C80-1073.5,conversation analysis
C80-1073.6,models of verbal interaction
C80-1073.7,dialog schemata
C80-1073.8,verbal interaction 
C80-1073.9,task-oriented and goal-directed dialogs
C80-1073.10,ATN
C80-1073.11,verbal interactions 
C80-1073.12,task-oriented dialogs
P80-1004.1,metaphors
P80-1004.2,human understanding of natural language 
P80-1004.3,method of analyzing metaphors
P80-1004.4,generalized metaphor mappings
P80-1004.5,generalized metaphor 
P80-1004.6,recognition network
P80-1004.7,basic mapping 
P80-1004.8,transfer mappings
P80-1004.9, implicit intention component 
P80-1004.10,metaphor interpretation
P80-1004.11,reconstruction
P80-1004.12,recognition task
P80-1004.13,language learning
P80-1019.1,natural language interfaces
P80-1019.2,meaning
P80-1019.3,input
P80-1019.4,users
P80-1019.5,decoding
P80-1019.6,natural language interfaces 
P80-1019.7,non-literal aspects of communication 
P80-1019.8,communication procedures
P80-1019.9,non-literal aspects of communication 
P80-1019.10,personal computers
P80-1019.11,graphics displays
P80-1019.12,human communication needs
P80-1019.13,interfaces
P80-1019.14,natural language interfaces
P80-1026.1,natural language
P80-1026.2,human listeners
P80-1026.3,computer system
P80-1026.4,natural language input 
P80-1026.5,users
P80-1026.6,parsing flexibilities
P80-1026.7,FlexP
P80-1026.8,bottom-up pattern-matching parser 
P80-1026.9, restricted natural language 
C82-1054.1,left corner parsing algorithm 
C82-1054.2,context-free grammars
C82-1054.3,parser 
C82-1054.4,natural language interface
J82-3002.1,natural language question answering system 
J82-3002.2,Chat-80
J82-3002.3,Chat-80
J82-3002.4,Prolog
J82-3002.5,programming language 
J82-3002.6,logic
J82-3002.7, logic-based grammar formalism 
J82-3002.8,extraposition grammars
J82-3002.9,Chat-80 
J82-3002.10,English questions
J82-3002.11, Prolog 
J82-3002.12,subset of logic
J82-3002.13,logical expression 
J82-3002.14,planning algorithm
J82-3002.15,Prolog 
J82-3002.16,query optimisation
J82-3002.17,relational database 
J82-3002.18,Prolog form
P82-1035.1,text-understanding systems
P82-1035.2,text
P82-1035.3,newspaper stories 
P82-1035.4,edited texts
P82-1035.5,natural language texts 
P82-1035.6,memos
P82-1035.7,drafts
P82-1035.8,conversation transcripts 
P82-1035.9,neat texts
P82-1035.10,misspelled words
P82-1035.11,missing words 
P82-1035.12,poor syntactic construction
P82-1035.13,missing periods 
P82-1035.14,expectations
P82-1035.15,surface English
P82-1035.16,world knowledge 
P82-1035.17,syntactic and semantic expectations 
P82-1035.18,unknown words
P82-1035.19,context 
P82-1035.20,word-senses
P82-1035.21, words with multiple meanings 
P82-1035.22,ambiguity
P82-1035.23,missing words 
P82-1035.24,ellipsis
P82-1035.25,referents 
P82-1035.26,anaphora
P82-1035.27, expectations 
P82-1035.28,scruffy texts
P82-1035.29,computer program
P82-1035.30,NOMAD
P82-1035.31,scruffy texts
P84-1020.1,natural language system
P84-1020.2,ungrammatical input 
P84-1020.3,computer aided second language learning 
P84-1034.1,syntax
P84-1034.2,semantics
P84-1034.3,machine translation 
P84-1034.4,English-Japanese machine translation 
P84-1034.5,syntax directed approach
P84-1034.6,Heuristic Parsing Model (HPM) 
P84-1034.7,Syntactic Role System
P84-1034.8,Japanese-English translation 
P84-1034.9,semantics directed approach
P84-1034.10,Conceptual Dependency Diagram (CDD) 
P84-1034.11,Augmented Case Marker System
P84-1034.12,Semantic Role System 
P84-1034.13,Japanese sentence structure 
P84-1034.14,English sentence structure
P84-1034.15,machine translation 
P84-1034.16,ambiguities
P84-1047.1,entity-oriented approach to restricted-domain parsing
P84-1047.2,structure
P84-1047.3,surface representation 
P84-1047.4,domain entities
P84-1047.5,semantic grammar 
P84-1047.6,limited domain semantics
P84-1047.7,fragmentary recognition
P84-1047.8,multiple parsing strategies 
P84-1047.9,recognition of extra-grammatical input 
P84-1047.10,language definition
P84-1047.11,entity-oriented language definition 
P84-1047.12,control structure
P84-1047.13,entity-oriented parser 
P84-1047.14,parsing strategies
P84-1047.15, control structure 
P84-1047.16,parses
P84-1047.17, parser 
P84-1047.18,control structure
P84-1047.19,parsing strategies 
P84-1047.20,implementation
P84-1064.1,disposition
P84-1064.2,proposition
P84-1064.3,disposition 
P84-1064.4,propositions
P84-1064.5,disposition 
P84-1064.6,proposition
P84-1064.7, fuzzy quantifiers 
P84-1064.8,fuzzy quantifier 
P84-1064.9,proposition
P84-1064.10,disposition 
P84-1064.11,proposition
P84-1064.12, explicitation 
P84-1064.13,restoration
P84-1064.14,Explicitation
P84-1064.15,meaning
P84-1064.16, proposition 
P84-1064.17,test-score semantics
P84-1064.18,semantics
P84-1064.19,meaning
P84-1064.20,proposition 
P84-1064.21,reasoning with dispositions 
P84-1064.22,fuzzy syllogism
P84-1064.23,Syllogistic reasoning with dispositions 
P84-1064.24,commonsense reasoning
P84-1064.25,management of uncertainty 
P84-1064.26,expert systems
P84-1064.27,typicality
P84-1064.28,human cognition
P84-1064.29,default reasoning
P84-1078.1,Paul
P84-1078.2,computer text generation system 
P84-1078.3,cohesive text
P84-1078.4,lexical substitutions 
P84-1078.5, pronominalization 
P84-1078.6,superordinate substitution
P84-1078.7, noun phrase reiteration 
P84-1078.8,antecedence recovery
P84-1078.9,lexical substitutions
P84-1078.10,strength of potential antecedence 
P84-1078.11,text
P84-1078.12,substitutions 
C86-1081.1,Determiners
C86-1081.2,meaning
C86-1081.3,utterance 
C86-1081.4,global meaning
C86-1081.5,sentence
C86-1081.6,determiners
C86-1081.7,ambiguity
C86-1081.8, logical formalism 
C86-1081.9,determiners
C86-1081.10,interpretation
C86-1081.11, meaning 
C86-1132.1,RAREAS
C86-1132.2,formatted weather data
C86-1132.3,synthesis 
C86-1132.4,natural sublanguages
C86-1132.5,stereotyped text structure 
C86-1132.6,RAREAS
C86-1132.7,linguistic and non-linguistic knowledge 
C86-1132.8,temporal adverbs 
C86-1132.9,bilingual or multi-lingual texts 
J86-1002.1,error correction
J86-1002.2,ill-formed input 
J86-1002.3,dialogue patterns
J86-1002.4,patterns
J86-1002.5,Error correction 
J86-1002.6,parsing
J86-1002.7,meanings 
J86-1002.8,sentence
J86-1002.9,dialogue acquisition and tracking algorithm
J86-1002.10,implementation
J86-1002.11,voice interactive system 
J86-1002.12,error correction methodology 
J86-1002.13,stereotypic dialogue
J86-3001.1,theory of discourse structure
J86-3001.2,purpose
J86-3001.3,processing
J86-3001.4,discourse 
J86-3001.5,discourse structure
J86-3001.6,utterances
J86-3001.7,linguistic structure
J86-3001.8, purposes 
J86-3001.9,intentional structure
J86-3001.10,focus of attention 
J86-3001.11,attentional state
J86-3001.12, linguistic structure 
J86-3001.13,discourse
J86-3001.14,utterances 
J86-3001.15,intentional structure
J86-3001.16,discourse-relevant purposes 
J86-3001.17,linguistic segments
J86-3001.18,attentional state
J86-3001.19,focus of attention 
J86-3001.20,participants
J86-3001.21,discourse 
J86-3001.22,attentional state
J86-3001.23,discourse
J86-3001.24,discourse phenomena 
J86-3001.25,cue phrases
J86-3001.26,referring expressions 
J86-3001.27,interruptions
J86-3001.28,theory of attention, intention, and aggregation of utterances 
J86-3001.29,discourses
J86-3001.30,discourse
J86-3001.31,cue phrases
J86-3001.32,referring expressions 
J86-3001.33,interruptions
J86-3001.34, theory 
J86-3001.35,utterances
J86-3001.36,discourse
J86-3001.37,Discourse processing
J86-3001.38,utterances
J86-3001.39,discourse 
J86-3001.40,segments
J86-3001.41, intentions 
J86-3001.42,discourse
J86-3001.43,intentions 
J86-3001.44,discourse
J86-3001.45,attentional state
J86-3001.46,recognition tasks
J86-3001.47,discourse 
J86-3001.48,participants
J86-4002.1,human-machine interactions
J86-4002.2,natural language environment 
J86-4002.3,speaker
J86-4002.4,listener
J86-4002.5,beliefs
J86-4002.6,contexts 
J86-4002.7,perceptions
J86-4002.8,backgrounds
J86-4002.9,goals 
J86-4002.10,conversation
J86-4002.11,listener
J86-4002.12,speaker's utterance 
J86-4002.13, speaker 
J86-4002.14,listener
J86-4002.15,reference failures 
J86-4002.16,speaker's intention
J86-4002.17,miscommunication
J86-4002.18,communication
J86-4002.19,miscommunications 
J86-4002.20, miscommunication 
J86-4002.21,reference problems
J86-4002.22,failures of reference
J86-4002.23,speaker
J86-4002.24,utterance
J86-4002.25,extensional reference
P86-1011.1,grammatical formalisms
P86-1011.2,Tree Adjoining Grammars 
P86-1011.3,Head Grammars
P86-1011.4,equivalence 
P86-1011.5,formalisms
P86-1011.6,linguistic expressiveness 
P86-1011.7,formalisms
P86-1038.1,Unification-based grammar formalisms
P86-1038.2,features
P86-1038.3,linguistic objects 
P86-1038.4,computational algorithms for unification of feature structures 
P86-1038.5,feature structures
P86-1038.6,model 
P86-1038.7,feature structures
P86-1038.8,logical formulas 
P86-1038.9,directed graphs
P86-1038.10,graphs
P86-1038.11,transition graphs 
P86-1038.12,deterministic finite automaton
P86-1038.13,semantics 
P86-1038.14,feature structures
P86-1038.15, disjunctions 
P86-1038.16,path values
P86-1038.17, disjunctions 
P86-1038.18, logical model 
P86-1038.19,denotational semantics
P86-1038.20,logical model 
P86-1038.21,equivalences
P86-1038.22,formulas 
P86-1038.23,Unification
P86-1038.24,model
P86-1038.25,computational complexity
P86-1038.26,unification 
P86-1038.27,consistency problem
P86-1038.28,formulas 
P86-1038.29,disjunctive values
P86-1038.30,NP-complete 
P86-1038.31,complexity
P86-1038.32,disjunctive 
P86-1038.33,expansion
P86-1038.34,disjunctive normal form 
A88-1001.1,multimedia articulation of answers 
A88-1001.2,natural language interface
A88-1001.3, database query applications 
A88-1001.4,Multimedia answers
A88-1001.5,videodisc images 
A88-1001.6,sentences
A88-1001.7,text 
A88-1001.8,text-to-speech form
A88-1001.9,Deictic reference 
A88-1001.10,feedback
A88-1001.11,discourse
A88-1001.12,interface
A88-1003.1,pronominal anaphora resolution module
A88-1003.2,Lucy 
A88-1003.3,English understanding system
A88-1003.4, anaphora resolution 
A88-1003.5, blackboard-like architecture 
A88-1003.6,partial theories
A88-1003.7,antecedents
C88-1007.1,Unification Categorial Grammar (UCG) 
C88-1007.2,Isomorphic Grammars
C88-1007.3, Machine Translation 
C88-1007.4,Isomorphic Grammars approach to MT
C88-1007.5,grammars
C88-1007.6,Source and Target languages 
C88-1007.7,SL
C88-1007.8, TL 
C88-1007.9,translation relation
C88-1007.10,isomorphic derivations 
C88-1007.11,semantic questions 
C88-1007.12,Semantic
C88-1007.13,translation relation
C88-1007.14,textual representation
C88-1007.15,MT system 
C88-1007.16,monolingual UCG
C88-1007.17,bi-directional English-Spanish fragment 
C88-1044.1,demonstrative expressions 
C88-1044.2,English
C88-1044.3,discourse processing algorithms 
C88-1044.4,texts
C88-1044.5,demonstrative forms and functions 
C88-1044.6,genre dependent
C88-1044.7,anaphoric expressions 
C88-1044.8,natural language generation system 
C88-1066.1,Category Cooccurrence Restrictions (CCRs) 
C88-1066.2,parsing algorithms
C88-1066.3,CCRs 
C88-1066.4,Boolean conditions
C88-1066.5,categories 
C88-1066.6,local trees
C88-1066.7,statement of generalizations 
C88-1066.8,syntax formalisms
C88-1066.9,CCRs
C88-1066.10,syntactic descriptions
C88-1066.11,restrictive statements
C88-1066.12,context free languages
C88-1066.13,CCR formalism
C88-1066.14,parser 
C88-1066.15,logical well-formedness conditions
C88-1066.16,trees 
C88-2086.1,theory of natural language presuppositions 
C88-2086.2,inferential theory for natural language presuppositions 
C88-2086.3,presuppositional nature 
C88-2086.4,sentences
C88-2130.1,computational model
C88-2130.2,discourse task
C88-2130.3,model
C88-2130.4,APT
C88-2130.5,organizational and discourse strategies
C88-2130.6,corpus
C88-2132.1,Chart parsing
C88-2132.2,directional
C88-2132.3,chart
C88-2132.4, islands 
C88-2132.5,sentence
C88-2132.6,fragments
C88-2132.7,fragments
C88-2132.8,sentence 
C88-2132.9,islands 
C88-2132.10,fragments
C88-2132.11, heuristics 
C88-2132.12,fragments
C88-2160.1,Interactive Machine Translation
C88-2160.2,author 
C88-2160.3,document
C88-2160.4,ambiguity
C88-2160.5,linguistic theory
C88-2160.6,sentence
C88-2160.7,translation process
C88-2160.8,interactive disambiguation scheme
C88-2160.9,paraphrasing 
C88-2160.10,parser
C88-2160.11,paraphrasing 
C88-2160.12,sentences
C88-2162.1,modeling language acquisition 
C88-2162.2,learning methodology
C88-2162.3,general domains 
C88-2162.4,linguistic domain
C88-2162.5,linguistic representation 
C88-2162.6,language processing systems
C88-2162.7,learning 
